"Code,Name,Type,VAT,Related Vendor,Account Type"
"""2360"",""Income tax payable"",""Liability"",""Not included in Turnover"",""Tax Authority"",""Detail"""
"""2370"",""Fringe benefit income tax payable"",""Liability"",""Not included in Turnover"",""Tax Authority"",""Detail"""
"""2380"",""Land tax payable"",""Liability"",""Not included in Turnover"",""Tax Authority"",""Detail"""
"""2382"",""Excise tax payable"",""Liability"",""Not included in Turnover"",""Tax Authority"",""Detail"""
"""2386"",""Other taxes payable"",""Liability"",""Not included in Turnover"",""Tax Authority"",""Detail"""
"""2390"",""Interests on taxes payable"",""Liability"",""Not included in Turnover"",""Tax Authority"",""Detail"""
"""2400"",""Dividends payable"",""Liability"",""Not included in Turnover"","""",""Detail"""
"""2401"",""Accrued income tax on dividends payable"",""Liability"",""Not included in Turnover"","""",""Detail"""
"""2405"",""Interest payable"",""Liability"",""Not included in Turnover"","""",""Detail"""
"""2410"",""Payables to related parties"",""Liability"",""Not included in Turnover"","""",""Detail"""
"""2430"",""Purchase invoices paid by debit card"",""Liability"",""Not included in Turnover"","""",""Detail"""
"""2440"",""Purchase invoices paid by credit card"",""Liability"",""Not included in Turnover"","""",""Detail"""
"""2450"",""Other payables"",""Liability"",""Not included in Turnover"","""",""Detail"""
"""2460"",""Accrued social tax"",""Liability"",""Not included in Turnover"","""",""Detail"""
"""2462"",""Accrued personal income tax"",""Liability"",""Not included in Turnover"","""",""Detail"""
"""2464"",""Accrued unemployment insurance premiums"",""Liability"",""Not included in Turnover"","""",""Detail"""
"""2466"",""Accrued funded pension liabilities"",""Liability"",""Not included in Turnover"","""",""Detail"""
"""2500"",""Prepayments from customers"",""Liability"",""Not included in Turnover"","""",""Detail"""
"""2510"",""Invoices for prepayments to customers"",""Liability"",""Value Added Tax 22%"","""",""Detail"""
"""2700"",""Short-term provisions"",""Liability"",""Not included in Turnover"","""",""Detail"""
"""2600"",""Government grants for operating costs"",""Liability"",""Not included in Turnover"","""",""Detail"""
"""2810"",""Long-term bank loan"",""Liability"",""Not included in Turnover"","""",""Detail"""
"""2820"",""Long-term loan from the owner"",""Liability"",""Not included in Turnover"","""",""Detail"""
"""2830"",""Long-term portion of finance lease"",""Liability"",""Not included in Turnover"","""",""Detail"""
"""2860"",""Other long-term payables"",""Liability"",""Not included in Turnover"","""",""Detail"""
"""2870"",""Long-term provisions"",""Liability"",""Not included in Turnover"","""",""Detail"""
"""2880"",""Government grants for the acquisition of fixed assets"",""Liability"",""Not included in Turnover"","""",""Detail"""
"""2910"",""Issued capital"",""Liability"",""Not included in Turnover"","""",""Detail"""
"""2912"",""Issued share capital"",""Liability"",""Not included in Turnover"","""",""Detail"""
"""2920"",""Unregistered equity"",""Liability"",""Not included in Turnover"","""",""Detail"""
"""2922"",""Unregistered shareholders equity"",""Liability"",""Not included in Turnover"","""",""Detail"""
"""2930"",""Share premium"",""Liability"",""Not included in Turnover"","""",""Detail"""
"""2940"",""Treasury shares"",""Liability"",""Not included in Turnover"","""",""Detail"""
"""2942"",""Treasury shares"",""Liability"",""Not included in Turnover"","""",""Detail"""
"""2950"",""Statutory reserve capital"",""Liability"",""Not included in Turnover"","""",""Detail"""
"""2960"",""Other reserves"",""Liability"",""Not included in Turnover"","""",""Detail"""
"""2962"",""Uncalled capital"",""Liability"",""Not included in Turnover"","""",""Detail"""
"""2970"",""Retained earnings"",""Liability"",""Not included in Turnover"","""",""Detail"""
"""2980"",""Profit for the year"",""Liability"",""Not included in Turnover"","""",""Detail"""
"""3000"",""Sales of goods services in Estonia 22%"",""Revenue"",""Value Added Tax 22%"","""",""Detail"""
"""3010"",""Sales of goods to the EU 0%"",""Revenue"",""Value Added Tax 0%"","""",""Detail"""
"""3015"",""Sales of services to the EU 0%"",""Revenue"",""Value Added Tax 0%"","""",""Detail"""
"""3020"",""Export of goods"",""Revenue"",""Value Added Tax 0%"","""",""Detail"""
"""3025"",""Service exports"",""Revenue"",""Value Added Tax 0%"","""",""Detail"""
"""3040"",""Net sales 9%"",""Revenue"",""Value Added Tax 9%"","""",""Detail"""
"""3060"",""Turnover exempt from VAT"",""Revenue"",""Turnover exempt from VAT"","""",""Detail"""
"""3070"",""Sales of second-hand goods at cost"",""Revenue"",""Not included in Turnover"","""",""Detail"""
"""3075"",""Sales of second-hand goods taxed at 22%"",""Revenue"",""Taxation on the profit margin KMS§41 42"","""",""Detail"""
"""3076"",""Sales of second-hand goods taxed at 9%"",""Revenue"",""Taxation on the profit margin KMS§41 42"","""",""Detail"""
"""3080"",""Sales of scrap metal immovable property precious metals"",""Revenue"",""Immovable property and scrap met KMS§41"","""",""Detail"""
"""3099"",""Roundings"",""Revenue"",""Not included in Turnover"","""",""Detail"""
"""3510"",""Sales of fixed assets taxed at 22%"",""Revenue"",""Value Added Tax 22%"","""",""Detail"""
"""3511"",""Sales of fixed assets exempt from tax"",""Revenue"",""Turnover exempt from VAT"","""",""Detail"""
"""3512"",""Net book value of the sold fixed assets"",""Revenue"",""Not included in Turnover"","""",""Detail"""
"""3514"",""Loss on sale of fixed assets under operating activities"",""Revenue"",""Not included in Turnover"","""",""Detail"""
"""3520"",""Realised gain on currency exchange rates"",""Revenue"",""Not included in Turnover"","""",""Detail"""
"""3530"",""Subsidies and grants"",""Revenue"",""Not included in Turnover"","""",""Detail"""
"""3540"",""Income from government grants"",""Revenue"",""Not included in Turnover"","""",""Detail"""
"""3560"",""Other income"",""Revenue"",""Not included in Turnover"","""",""Detail"""
"""3590"",""Write-off of immaterial balances"",""Revenue"",""Not included in Turnover"","""",""Detail"""
"""3900"",""Gain loss on revaluation of biological assets"",""Revenue"",""Not included in Turnover"","""",""Detail"""
"""3910"",""Increase decrease in inventories of finished goods and work in progress"",""Revenue"",""Not included in Turnover"","""",""Detail"""
"""3920"",""Capitalised expenditures for the entity's own use"",""Revenue"",""Value Added Tax 22%"","""",""Detail"""
"""4000"",""Goods sold at cost price"",""Expense"",""Value Added Tax 22%"","""",""Detail"""
"""4002"",""Materials expensed"",""Expense"",""Value Added Tax 22%"","""",""Detail"""
"""4003"",""Raw materials expensed"",""Expense"",""Value Added Tax 22%"","""",""Detail"""
"""4004"",""Low value assets"",""Expense"",""Value Added Tax 22%"","""",""Detail"""
"""4006"",""Transportation expenses"",""Expense"",""Value Added Tax 22%"","""",""Detail"""
"""4008"",""Services purchased for resale"",""Expense"",""Value Added Tax 22%"","""",""Detail"""
"""4009"",""Subcontracted work"",""Expense"",""Value Added Tax 22%"","""",""Detail"""
"""4010"",""Spare parts repair and maintenance of machinery"",""Expense"",""Value Added Tax 22%"","""",""Detail"""
"""4015"",""Rental of buildings and equipment"",""Expense"",""Value Added Tax 22%"","""",""Detail"""
"""4020"",""Fuel"",""Expense"",""Value Added Tax 22%"","""",""Detail"""
"""4030"",""Electricity"",""Expense"",""Value Added Tax 22%"","""",""Detail"""
"""4040"",""Other services related to operating activities"",""Expense"",""Value Added Tax 22%"","""",""Detail"""
"""4050"",""Other materials related to operating activities"",""Expense"",""Value Added Tax 22%"","""",""Detail"""
"""4200"",""Set-up costs"",""Expense"",""Value Added Tax 22%"","""",""Detail"""
"""4210"",""Room rental"",""Expense"",""Value Added Tax 22%"","""",""Detail"""
"""4230"",""Utilities for rooms"",""Expense"",""Value Added Tax 22%"","""",""Detail"""
"""4240"",""Room repair and maintenance"",""Expense"",""Value Added Tax 22%"","""",""Detail"""
"""4250"",""Security expenses for rooms"",""Expense"",""Value Added Tax 22%"","""",""Detail"""
"""4300"",""Advertising expenses"",""Expense"",""Value Added Tax 22%"","""",""Detail"""
"""4310"",""Telephone Internet"",""Expense"",""Value Added Tax 22%"","""",""Detail"""
"""4320"",""IT services computer accessories"",""Expense"",""Value Added Tax 22%"","""",""Detail"""
"""4330"",""Office supplies postal expenses"",""Expense"",""Value Added Tax 22%"","""",""Detail"""
"""4335"",""Newspapers magazines books"",""Expense"",""Value Added Tax 22%"","""",""Detail"""
"""4340"",""Banking services"",""Expense"",""Not included in Turnover"","""",""Detail"""
"""4350"",""Irrecoverable receivables"",""Expense"",""Not included in Turnover"","""",""Detail"""
"""4360"",""State fees"",""Expense"",""Not included in Turnover"","""",""Detail"""
"""4365"",""Land tax"",""Expense"",""Not included in Turnover"","""",""Detail"""
"""4370"",""Consultations trainings"",""Expense"",""Value Added Tax 22%"","""",""Detail"""
"""4380"",""Auditor's fees"",""Expense"",""Value Added Tax 22%"","""",""Detail"""
"""4385"",""Accounting services"",""Expense"",""Value Added Tax 22%"","""",""Detail"""
"""4390"",""Property insurance"",""Expense"",""Turnover exempt from VAT"","""",""Detail"""
"""4395"",""Other operating expenses"",""Expense"",""Value Added Tax 22%"","""",""Detail"""
"""4396"",""Interest to suppliers penalties for delays"",""Expense"",""Not included in Turnover"","""",""Detail"""
"""4398"",""Write-off of immaterial balances"",""Expense"",""Not included in Turnover"","""",""Detail"""
"""4399"",""Roundings"",""Expense"",""Not included in Turnover"","""",""Detail"""
"""4410"",""Operating lease of cars"",""Expense"",""Value Added Tax 22%"","""",""Detail"""
"""4420"",""Car insurance"",""Expense"",""Turnover exempt from VAT"","""",""Detail"""
"""4430"",""Car fuel"",""Expense"",""Value Added Tax 22%"","""",""Detail"""
"""4440"",""Repair and maintenance of cars"",""Expense"",""Value Added Tax 22%"","""",""Detail"""
"""4460"",""Allowance for the use of a personal car"",""Expense"",""Not included in Turnover"","""",""Detail"""
"""4470"",""Other expenses related to cars"",""Expense"",""Value Added Tax 22%"","""",""Detail"""
"""4510"",""Travel expenses"",""Expense"",""Value Added Tax 22%"","""",""Detail"""
"""4610"",""Fringe benefits to employees"",""Expense"",""Not included in Turnover"","""",""Detail"""
"""4646"",""24% VAT on fringe benefits"",""Expense"",""Not included in Turnover"","""",""Detail"""
"""4648"",""22% VAT on fringe benefits"",""Expense"",""Not included in Turnover"","""",""Detail"""
"""4650"",""20% VAT on fringe benefits"",""Expense"",""Not included in Turnover"","""",""Detail"""
"""4660"",""9% VAT on fringe benefits"",""Expense"",""Not included in Turnover"","""",""Detail"""
"""4668"",""5% VAT on fringe benefits"",""Expense"",""Not included in Turnover"","""",""Detail"""
"""4670"",""Income tax on fringe benefits"",""Expense"",""Not included in Turnover"","""",""Detail"""
"""4680"",""Social tax on fringe benefits"",""Expense"",""Not included in Turnover"","""",""Detail"""
"""4710"",""Wages and salaries"",""Expense"",""Not included in Turnover"","""",""Detail"""
"""4790"",""Vacation liability cost reserve"",""Expense"",""Not included in Turnover"","""",""Detail"""
"""4720"",""Social security costs"",""Expense"",""Not included in Turnover"","""",""Detail"""
"""4791"",""Social tax cost on vacation liability"",""Expense"",""Not included in Turnover"","""",""Detail"""
"""4810"",""Depreciation of non-current assets"",""Expense"",""Not included in Turnover"","""",""Detail"""
"""4820"",""Depreciation of investment property"",""Expense"",""Not included in Turnover"","""",""Detail"""
"""4830"",""Amortisation of intangible assets"",""Expense"",""Not included in Turnover"","""",""Detail"""
"""4900"",""Loss on disposal of fixed assets"",""Expense"",""Not included in Turnover"","""",""Detail"""
"""4910"",""Loss on sale of fixed assets"",""Expense"",""Not included in Turnover"","""",""Detail"""
"""4940"",""Interest due the Tax Board"",""Expense"",""Not included in Turnover"","""",""Detail"""
"""4950"",""Realised loss on currency exchange rates"",""Expense"",""Not included in Turnover"","""",""Detail"""
"""4970"",""Expenses not related to business"",""Expense"",""Not included in Turnover"","""",""Detail"""
"""4980"",""Costs of entertaining guests"",""Expense"",""Not included in Turnover"","""",""Detail"""
"""4990"",""Other operating charges"",""Expense"",""Not included in Turnover"","""",""Detail"""
"""6000"",""Profit loss from subsidiaries and associates"",""Revenue"",""Not included in Turnover"","""",""Detail"""
"""6010"",""Gain loss on financial investments"",""Revenue"",""Not included in Turnover"","""",""Detail"""
"""6060"",""Interest expense on loans"",""Expense"",""Not included in Turnover"","""",""Detail"""
"""6065"",""Interest expense on finance lease"",""Expense"",""Not included in Turnover"","""",""Detail"""
"""6040"",""Gain loss on foreign currency translations"",""Revenue"",""Not included in Turnover"","""",""Detail"""
"""6050"",""Interest income"",""Revenue"",""Not included in Turnover"","""",""Detail"""
"""7000"",""Income tax"",""Expense"",""Not included in Turnover"","""",""Detail"""
